Movie Title,Movie Rating,Number of Votes M,Release Date,Duration (Minutes),Category
. The Wizard of Oz,8.1,0.42M,1939,102,G
. The Incredibles,8.0,0.788M,2004,115,PG
. Into the Wild,8.1,0.648M,2007,148,R
. Hachi: A Dog's Tale,8.1,0.304M,2009,93,G
. To Be or Not to Be,8.2,0.042M,1942,99,Passed
. Ah-ga-ssi,8.1,0.166M,2016,145,Not Rated
. Babam ve Oglum,8.2,0.091M,2005,112,Not Rated
. La battaglia di Algeri,8.1,0.064M,1966,121,Not Rated
. Groundhog Day,8.0,0.669M,1993,101,PG
. The Grapes of Wrath,8.1,0.098M,1940,129,Passed
. Amores perros,8.1,0.25M,2000,154,R
. The Sound of Music,8.1,0.252M,1965,172,G
. Rebecca,8.1,0.144M,1940,130,Approved
. Cool Hand Luke,8.1,0.186M,1967,127,GP
. The Iron Giant,8.1,0.22M,1999,86,PG
. Pather Panchali,8.2,0.037M,1955,125,Not Rated
. The Help,8.1,0.484M,2011,146,PG-13
. It Happened One Night,8.1,0.11M,1934,105,Passed
. Les quatre cents coups,8.1,0.126M,1959,99,Not Rated
. Aladdin,8.0,0.455M,1992,90,G
. Dances with Wolves,8.0,0.284M,1990,181,PG-13
. Life of Brian,8.0,0.418M,1979,94,R
. Persona,8.1,0.128M,1966,85,Not Rated
